supermarket,product_code,category,name,price,lastUpdate,subcategory
Alcampo,246092,29,VALIO Profeel Mousse de capuccino sin azúcares añadidos y con alto contenido en proteínas (18 g) 150 g.,"1,43",1742774055.396548,estandar
Alcampo,52395,29,LA LECHERA Mousse de limón LA LECHERA de Nestlé 4 x 58 g.,"2,04",1742774055.396691,estandar
Alcampo,676540,29,REINA Mousse de chocolate baja en grasa y con alto contenido en proteínas (10 g) 2 x 100 g.,"1,42",1742774055.396833,estandar
Alcampo,916351,29,AFTER EIGHT Mousse de menta con capas de chocolate negro crujiente AFTER EIGHT 4 x 57 g.,"2,71",1742774055.396973,estandar
Alcampo,916571,29,LA LECHERA Mousse de chocolate con leche y chocolate blanco LA LECHERA de Nestlé 4 x 59 g.,"1,98",1742774055.397111,estandar
Alcampo,52629,29,LA LECHERA Mousse de café LA LECHERA de Nestlé 4 x 58 g.,"2,04",1742774055.397251,estandar
Alcampo,52493,29,LA LECHERA Mousse de chocolate con un 50% mínimo de cacao LA LECHERA de Nestlé 4 x 59 g.,"2,10",1742774055.397389,estandar
Alcampo,90161,29,NESTLÉ Mousse de vainilla con láminas crujientes de chocolate NESTLÉ Gold 4 x 57 g.,"2,71",1742774055.397534,estandar
Alcampo,526659,29,"YOPRO Mousse con sabor a chocolate negro, sin azúcar y con alto contenido en proteínas  de Danone 200 g.","1,97",1742774055.397681,estandar
Alcampo,946783,29,VALIO Profeel protein Mousse de chocolate y naranaja con alto contenido en proteinas 150 g.,"1,48",1742774055.397825,estandar
Alcampo,647452,29,DANONE Mousse de textura ligera e inteso sabor a chocolate DANONE 4 x 60 g.,"2,58",1742774055.397967,estandar
Alcampo,744289,29,"KAIKU Mousse de chocolate 100% vegetal, elaborada sin gluten ni lactosa Begetal 90 g.","1,42",1742774055.398117,Celiaco
Alcampo,744289,29,"KAIKU Mousse de chocolate 100% vegetal, elaborada sin gluten ni lactosa Begetal 90 g.","1,42",1742774055.398117,Sin lactosa
Alcampo,898932,29,MILKYBAR Mousse de chocolate blanco MILKYBAR de Nestlé 4 x 55 g.,"2,14",1742774055.398255,estandar
Alcampo,897781,29,AUCHAN Mousse proteica de chocolate sin azúcares añadidos 2x100 g Producto Alcampo.,"1,55",1742774055.398375,estandar
Alcampo,898684,29,LA LECHERA Pannacotta sabor original 4 x 100 g.,"1,98",1742774056.16757,estandar
Alcampo,898683,29,LA LECHERA Pannacotta de café 4 x 100 g.,"1,89",1742774056.167928,estandar
Alcampo,51406,29,"AUCHAN Tiramisú receta italiana (bizcocho con salsa de café, mascarpone y cacao 2 x 80 g. Producto Alcampo","1,21",1742774056.168231,estandar
Alcampo,51407,29,AUCHAN Profiteroles bañados en salsa de chocolate 2 x 90 g. Producto Alcampo,"1,58",1742774056.168401,estandar
Alcampo,51454,29,AUCHAN Capuccino estilo italiano 2 x 90 g. Producto Alcampo,"1,95",1742774056.168562,estandar
Alcampo,96166,29,DHUL Tiramisú elaborado con huevos de gallinas criadas en suelo DHUL 2 x 80 g.,"2,08",1742774056.168716,estandar
Alcampo,51430,29,AUCHAN Tartufo receta italiana 2 x 90 g. Producto Alcampo,"1,89",1742774056.168871,estandar
Alcampo,252276,29,"KAIKU Tiramisú 100% vegetal a base de crema de arroz, bizcocho, café y cacao Begetal 90 g.","1,89",1742774056.169031,estandar
Alcampo,90242,29,DOLCE MAMMA Lemoncello estilo italiano DOLCE MAMMA 2 x 90 g.,"2,39",1742774056.169196,estandar
Alcampo,91543,29,DOLCE MAMMA Tiramisú al estilo italiano DOLCE MAMMA 500 g.,"4,65",1742774056.169347,estandar
Alcampo,96157,29,DHUL Profiteroles rellenos de nata y recubiertos de chocolate DHUL 2 x 80 g,"2,18",1742774056.169478,estandar
Alcampo,95190,29,REINA Tiramisú estilo italiano REINA 2 x 90 g.,"1,95",1742774056.169614,estandar
Alcampo,95187,29,REINA Postre de profiteroles rellenos de crema REINA 2 x 100 g.,"2,28",1742774056.169744,estandar
Alcampo,91567,29,DOLCE MAMMA Profiteroles estilo italiano DOLCE MAMMA 450 g.,"4,59",1742774056.169874,estandar
Alcampo,221245,29,FUSERO Panna cotta caramelo Italiana 125 gr.,"2,65",1742774056.170003,estandar
Alcampo,221248,29,FUSERO Panna cotta natural Italiana 125 gr.,"2,00",1742774056.170135,estandar
Alcampo,221243,29,FUSERO Panna cotta cacao Italiana 125 gr.,"2,00",1742774056.170264,estandar
Alcampo,221244,29,FUSERO Panna cotta café Italiano 125 gr.,"2,00",1742774056.170393,estandar
Alcampo,470742,29,LINDAHLS Pudding de chocolate con alto contenido en proteínas (15 g) de Nestlé 150 g.,"0,89",1742774057.03892,estandar
Alcampo,91787,29,"CLESA Crema de chocolate bombón, con solo 0.7% materia grasa CLESA 4 x 125 g.","1,32",1742774057.039257,estandar
Alcampo,90295,29,LA LECHERA Postre lácteo (delicias) de trufa LA LECHERA de Nestlé 2 x 125 g.,"1,60",1742774057.03956,estandar
Alcampo,521673,29,YOPRO Pudding de chocolate con alto contenido en proteinas y bajo en grasas de Danone 180 g.,"1,42",1742774057.039702,estandar
Alcampo,249698,29,"AUCHAN Protein + Postre de chocolate, sin grasa ni azúcares añadidos y con alto contenido en proteína 200 g. Producto Alcampo","1,24",1742774057.039834,estandar
Alcampo,53521,29,"VITALINEA Crema de chocolate negro, con solo 0.9% de materia grasa y sin gluten VITALINEA de Danone 4 x 120 g.","2,94",1742774057.039961,Celiaco
Alcampo,898930,29,NESTLÉ Crema de chocolate extrafino con caramelo NESTLÉ Extrafino 2 x 70 g.,"1,62",1742774057.040085,estandar
Alcampo,188917,29,DHUL Gourmet Tarta de queso cremosa 2 x 100 g.,"2,08",1742774057.040205,estandar
Alcampo,249726,29,"AUCHAN Protein + Postre de vainilla, sin grasa ni azúcares añadidos y con alto contenido en proteína 200 g. Producto Alcampo","1,24",1742774057.040325,estandar
Alcampo,90268,29,LA LECHERA Postre lácteo (Delicias) con galleta María LA LECHERA de Nestlé 2 x 125 g.,"1,60",1742774057.040441,estandar
Alcampo,898928,29,MILKYBAR Crema de chocolate blanco MILKYBAR de Nestlé 2 x 70 g.,"1,66",1742774057.040558,estandar
Alcampo,208066,29,PASTORET Crema ecológica de chocolate 100 g.,"1,84",1742774057.040794,estandar
Alcampo,514915,29,LA LECHERA Yogur con arándanos y leche entera de origen España de Nestlé 2 x 125 g.,"1,36",1742774057.040909,estandar
